match_id;game_in_series;teamA;teamB;teamA_win;split;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B;year;month;day
119;1;49;72;1;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;5;3
119;2;49;72;1;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;5;3
121;1;30;79;1;2;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;2025;5;3
121;2;30;79;1;2;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;2025;5;3
122;1;84;79;1;2;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;2025;4;28
122;2;84;79;1;2;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;2025;4;28
122;3;84;79;0;2;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;2025;4;28
123;1;74;81;0;2;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;2025;4;28
123;2;74;81;0;2;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;2025;4;28
124;1;61;35;1;2;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;2025;4;27
124;2;61;35;1;2;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;2025;4;27
124;3;61;35;0;2;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;2025;4;27
125;1;33;30;1;2;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;27
125;2;33;30;0;2;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;27
125;3;33;30;0;2;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;27
126;1;61;30;1;2;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;26
126;2;61;30;1;2;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;26
126;3;61;30;0;2;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;26
127;1;35;33;1;2;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;2025;4;26
127;2;35;33;1;2;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;2025;4;26
127;3;35;33;0;2;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;2025;4;26
128;1;84;61;1;2;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;2025;4;21
128;2;84;61;1;2;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;2025;4;21
129;1;74;72;1;2;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;4;21
129;2;74;72;0;2;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;4;21
129;3;74;72;0;2;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;4;21
130;1;79;33;1;2;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;2025;4;20
130;2;79;33;1;2;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;2025;4;20
133;1;81;84;1;2;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;2025;4;20
133;2;81;84;1;2;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;2025;4;20
134;1;49;35;1;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;2025;4;19
134;2;49;35;1;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;2025;4;19
134;3;49;35;0;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;2025;4;19
135;1;30;72;1;2;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;4;19
135;2;30;72;1;2;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;4;19
136;1;81;49;1;2;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;2025;4;14
136;2;81;49;0;2;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;2025;4;14
136;3;81;49;0;2;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;2025;4;14
137;1;35;74;0;2;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;2025;4;14
137;2;35;74;0;2;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;2025;4;14
138;1;79;61;0;2;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;2025;4;13
138;2;79;61;0;2;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;2025;4;13
139;1;84;30;0;2;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;13
139;2;84;30;0;2;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;13
140;1;49;74;1;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;2025;4;12
140;2;49;74;1;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;2025;4;12
141;1;72;33;0;2;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;2025;4;12
141;2;72;33;0;2;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;2025;4;12
142;1;81;79;1;2;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;2025;4;12
142;2;81;79;1;2;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;2025;4;12
142;3;81;79;0;2;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;2025;4;12
144;1;61;81;1;2;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;2025;4;7
144;2;61;81;1;2;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;2025;4;7
145;1;35;72;1;2;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;4;7
145;2;35;72;1;2;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;2025;4;7
146;1;49;30;1;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;6
146;2;49;30;0;2;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;2025;4;6
