teamA;teamB;winA;Season_A;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Season_B;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B
GIANTX;Team BDS;1;S15;EUW;25.0;44.0%;0.88;1800.0;-53.0;33:45;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;28.0;0.88;-0.1;27.0;3.20;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47
Karmine Corp;Rogue;1;S15;EUW;41.0;65.9%;1.23;1924.0;170.0;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25.0;4.27;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;S15;EUW;20.0;25.0%;0.79;1719.0;-176.0;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415.0;3.65;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
Fnatic;Team BDS;1;S15;EUW;32.0;59.4%;1.2;1903.0;124.0;32:46;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;68.8;0.88;0.1;335.0;5.19;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47
Team Vitality;Team BDS;1;S15;EUW;21.0;42.9%;0.89;1805.0;-51.0;33:24;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;57.1;0.71;0.0;-102.0;4.19;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47
SK Gaming;Team Heretics;0;S15;EUW;19.0;26.3%;0.52;1702.0;-260.0;32:27;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;42.1;0.68;-0.4;-1240.0;3.58;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;S15;EUW;25.0;44.0%;0.81;1768.0;-126.0;33:46;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;28.0;0.96;-0.1;-483.0;3.20;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
Movistar KOI;GIANTX;1;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;S15;EUW;25.0;44.0%;0.88;1800.0;-53.0;33:45;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;28.0;0.88;-0.1;27.0;3.20;0.72;47.0;33.0;2477.0;3.4;1.31;1.59
G2 Esports;Fnatic;0;S15;EUW;54.0;50.0%;1.03;1833.0;21.0;33:33;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;53.7;1.02;0.1;178.0;4.35;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;S15;EUW;32.0;59.4%;1.2;1903.0;124.0;32:46;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;68.8;0.88;0.1;335.0;5.19;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
Movistar KOI;Fnatic;1;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;S15;EUW;32.0;59.4%;1.2;1903.0;124.0;32:46;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;68.8;0.88;0.1;335.0;5.19;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
GIANTX;G2 Esports;1;S15;EUW;25.0;44.0%;0.88;1800.0;-53.0;33:45;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;28.0;0.88;-0.1;27.0;3.20;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;S15;EUW;54.0;50.0%;1.03;1833.0;21.0;33:33;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;53.7;1.02;0.1;178.0;4.35;0.65;54.2;33.5;2416.0;3.2;1.03;1.51
Team Vitality;Movistar KOI;1;S15;EUW;21.0;42.9%;0.89;1805.0;-51.0;33:24;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;57.1;0.71;0.0;-102.0;4.19;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
SK Gaming;Rogue;0;S15;EUW;19.0;26.3%;0.52;1702.0;-260.0;32:27;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;42.1;0.68;-0.4;-1240.0;3.58;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;S15;EUW;20.0;25.0%;0.79;1719.0;-176.0;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415.0;3.65;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
Team BDS;G2 Esports;1;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;S15;EUW;54.0;50.0%;1.03;1833.0;21.0;33:33;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;53.7;1.02;0.1;178.0;4.35;0.65;54.2;33.5;2416.0;3.2;1.03;1.51
Team Heretics;Team Vitality;1;S15;EUW;25.0;44.0%;0.81;1768.0;-126.0;33:46;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;28.0;0.96;-0.1;-483.0;3.20;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;S15;EUW;21.0;42.9%;0.89;1805.0;-51.0;33:24;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;57.1;0.71;0.0;-102.0;4.19;0.48;42.5;32.4;2581.0;3.5;1.42;1.42
Karmine Corp;GIANTX;1;S15;EUW;41.0;65.9%;1.23;1924.0;170.0;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25.0;4.27;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;S15;EUW;25.0;44.0%;0.88;1800.0;-53.0;33:45;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;28.0;0.88;-0.1;27.0;3.20;0.72;47.0;33.0;2477.0;3.4;1.31;1.59
Fnatic;Rogue;1;S15;EUW;32.0;59.4%;1.2;1903.0;124.0;32:46;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;68.8;0.88;0.1;335.0;5.19;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;S15;EUW;20.0;25.0%;0.79;1719.0;-176.0;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415.0;3.65;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
Team Heretics;Karmine Corp;0;S15;EUW;25.0;44.0%;0.81;1768.0;-126.0;33:46;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;28.0;0.96;-0.1;-483.0;3.20;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;S15;EUW;41.0;65.9%;1.23;1924.0;170.0;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25.0;4.27;0.83;72.8;34.3;2716.0;3.4;1.18;1.6
GIANTX;SK Gaming;0;S15;EUW;25.0;44.0%;0.88;1800.0;-53.0;33:45;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;28.0;0.88;-0.1;27.0;3.20;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;S15;EUW;19.0;26.3%;0.52;1702.0;-260.0;32:27;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;42.1;0.68;-0.4;-1240.0;3.58;0.32;23.5;32.2;2328.0;3.1;1.17;1.37
Team BDS;Movistar KOI;0;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
Team Vitality;Fnatic;0;S15;EUW;21.0;42.9%;0.89;1805.0;-51.0;33:24;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;57.1;0.71;0.0;-102.0;4.19;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;S15;EUW;32.0;59.4%;1.2;1903.0;124.0;32:46;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;68.8;0.88;0.1;335.0;5.19;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
Karmine Corp;SK Gaming;1;S15;EUW;41.0;65.9%;1.23;1924.0;170.0;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25.0;4.27;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;S15;EUW;19.0;26.3%;0.52;1702.0;-260.0;32:27;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;42.1;0.68;-0.4;-1240.0;3.58;0.32;23.5;32.2;2328.0;3.1;1.17;1.37
Rogue;G2 Esports;0;S15;EUW;20.0;25.0%;0.79;1719.0;-176.0;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415.0;3.65;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;S15;EUW;54.0;50.0%;1.03;1833.0;21.0;33:33;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;53.7;1.02;0.1;178.0;4.35;0.65;54.2;33.5;2416.0;3.2;1.03;1.51
Team Heretics;Team BDS;1;S15;EUW;25.0;44.0%;0.81;1768.0;-126.0;33:46;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;28.0;0.96;-0.1;-483.0;3.20;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47
Movistar KOI;Team Heretics;1;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;S15;EUW;25.0;44.0%;0.81;1768.0;-126.0;33:46;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;28.0;0.96;-0.1;-483.0;3.20;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
GIANTX;Rogue;1;S15;EUW;25.0;44.0%;0.88;1800.0;-53.0;33:45;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;28.0;0.88;-0.1;27.0;3.20;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;S15;EUW;20.0;25.0%;0.79;1719.0;-176.0;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415.0;3.65;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
Karmine Corp;Fnatic;0;S15;EUW;41.0;65.9%;1.23;1924.0;170.0;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25.0;4.27;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;S15;EUW;32.0;59.4%;1.2;1903.0;124.0;32:46;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;68.8;0.88;0.1;335.0;5.19;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
Team BDS;SK Gaming;1;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;S15;EUW;19.0;26.3%;0.52;1702.0;-260.0;32:27;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;42.1;0.68;-0.4;-1240.0;3.58;0.32;23.5;32.2;2328.0;3.1;1.17;1.37
G2 Esports;Team Heretics;1;S15;EUW;54.0;50.0%;1.03;1833.0;21.0;33:33;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;53.7;1.02;0.1;178.0;4.35;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;S15;EUW;25.0;44.0%;0.81;1768.0;-126.0;33:46;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;28.0;0.96;-0.1;-483.0;3.20;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
Team BDS;Karmine Corp;0;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;S15;EUW;41.0;65.9%;1.23;1924.0;170.0;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25.0;4.27;0.83;72.8;34.3;2716.0;3.4;1.18;1.6
Rogue;Team Vitality;1;S15;EUW;20.0;25.0%;0.79;1719.0;-176.0;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415.0;3.65;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;S15;EUW;21.0;42.9%;0.89;1805.0;-51.0;33:24;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;57.1;0.71;0.0;-102.0;4.19;0.48;42.5;32.4;2581.0;3.5;1.42;1.42
SK Gaming;Fnatic;1;S15;EUW;19.0;26.3%;0.52;1702.0;-260.0;32:27;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;42.1;0.68;-0.4;-1240.0;3.58;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;S15;EUW;32.0;59.4%;1.2;1903.0;124.0;32:46;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;68.8;0.88;0.1;335.0;5.19;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
Team BDS;Rogue;1;S15;EUW;21.0;38.1%;0.98;1786.0;-68.0;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330.0;3.24;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;S15;EUW;20.0;25.0%;0.79;1719.0;-176.0;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415.0;3.65;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
Karmine Corp;Movistar KOI;1;S15;EUW;41.0;65.9%;1.23;1924.0;170.0;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25.0;4.27;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
GIANTX;Team Vitality;0;S15;EUW;25.0;44.0%;0.88;1800.0;-53.0;33:45;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;28.0;0.88;-0.1;27.0;3.20;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;S15;EUW;21.0;42.9%;0.89;1805.0;-51.0;33:24;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;57.1;0.71;0.0;-102.0;4.19;0.48;42.5;32.4;2581.0;3.5;1.42;1.42
G2 Esports;Movistar KOI;1;S15;EUW;54.0;50.0%;1.03;1833.0;21.0;33:33;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;53.7;1.02;0.1;178.0;4.35;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
Rogue;Team Heretics;0;S15;EUW;20.0;25.0%;0.79;1719.0;-176.0;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415.0;3.65;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;S15;EUW;25.0;44.0%;0.81;1768.0;-126.0;33:46;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;28.0;0.96;-0.1;-483.0;3.20;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
Fnatic;GIANTX;1;S15;EUW;32.0;59.4%;1.2;1903.0;124.0;32:46;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;68.8;0.88;0.1;335.0;5.19;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;S15;EUW;25.0;44.0%;0.88;1800.0;-53.0;33:45;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;28.0;0.88;-0.1;27.0;3.20;0.72;47.0;33.0;2477.0;3.4;1.31;1.59
G2 Esports;Movistar KOI;0;S15;EUW;54.0;50.0%;1.03;1833.0;21.0;33:33;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;53.7;1.02;0.1;178.0;4.35;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
Movistar KOI;Karmine Corp;1;S15;EUW;48.0;54.2%;1.16;1841.0;22.0;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17.0;3.71;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;S15;EUW;41.0;65.9%;1.23;1924.0;170.0;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25.0;4.27;0.83;72.8;34.3;2716.0;3.4;1.18;1.6
