tournament,date,Team,GP,AGT,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
LPL 2025 Split 2 Placements,2025-03-25,EDward Gaming,3,34.2,0.95,0.74,,-0.07200000000000001,,,,0.67,1.0,,,0.67,0.72,0.67,0.31,,,0.25,0.488,0.48700000000000004,3.72,1.32,1.6,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-25,FunPlus Phoenix,3,31.1,1.03,0.74,,0.008,,,,0.67,0.0,,,0.33,0.33,0.67,0.67,,,0.33,0.501,0.49,3.36,1.33,1.53,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-25,Invictus Gaming,3,31.9,4.0,0.83,,0.154,,,,0.33,1.0,,,1.0,0.5,0.67,0.86,,,1.0,0.515,0.545,3.05,1.21,1.54,1.0
LPL 2025 Split 2 Placements,2025-03-25,JD Gaming,3,31.4,0.93,0.88,,-0.039,,,,0.67,0.33,,,0.67,0.39,1.0,0.43,,,0.5,0.503,0.55,3.63,1.19,1.27,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-25,LGD Gaming,3,34.1,0.78,0.85,,-0.045,,,,0.0,0.33,,,0.33,0.44,0.0,0.4,,,0.33,0.48100000000000004,0.42700000000000005,3.09,1.28,1.38,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-25,LNG Esports,3,29.6,0.37,0.83,,-0.07,,,,1.0,0.33,,,0.0,0.67,0.33,0.31,,,0.0,0.501,0.478,3.2,1.18,1.5,0.0
LPL 2025 Split 2 Placements,2025-03-25,Ninjas in Pyjamas,3,29.2,0.9,0.89,,0.015,,,,0.67,0.67,,,0.67,0.56,0.33,0.25,,,1.0,0.504,0.503,3.14,1.13,1.6,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-25,Oh My God,3,29.2,0.27,0.86,,-0.177,,,,0.0,0.33,,,0.33,0.44,0.33,0.27,,,0.0,0.489,0.431,3.11,1.16,1.44,0.0
LPL 2025 Split 2 Placements,2025-03-25,Royal Never Give Up,3,33.3,0.8,0.97,,-0.07400000000000001,,,,0.0,0.0,,,0.33,0.22,0.67,0.46,,,0.25,0.49200000000000005,0.488,3.48,1.42,1.68,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-25,Team WE,3,32.6,0.43,0.72,,-0.094,,,,0.67,0.33,,,0.33,0.28,0.33,0.2,,,0.0,0.49200000000000005,0.456,3.57,1.31,1.6,0.0
